freeze OK t1=5ae1bdb0e71a all=0eeb421b90d4 engine={'engine_image': 'quantconnect/lean@sha256:dc84a683464681b2e6c9579bc7655e16d4802380367c77004e40a6a504088bd7', 'lean_cli': 'lean 1.0.227', 'git_rev': 'b11f5d122f97867cc5ed6d1c49ddee57e4628667'}
jobs=2869 workers=6
[1/2869] BANK2_DONOR_pin__ref: cached
[2/2869] BANK2_DONOR_pin__OAT_rsi_smoothing-simple: cached
[3/2869] BANK2_DONOR_pin__OAT_rsi_exit-cross: cached
[4/2869] BANK2_DONOR_pin__OAT_warmup-ready_check: cached
[5/2869] BANK2_DONOR_pin__OAT_warmup-ready_per_rule: cached
[6/2869] BANK2_DONOR_pin__OAT_a_exec-set_holdings: cached
[7/2869] BANK2_DONOR_pin__OAT_same_bar_reentry-wait_bar: cached
[8/2869] BANK2_DONOR_pin__OAT_input_field-raw: cached
[9/2869] BANK2_DONOR_pin__OAT_cross_timing-today_ma: cached
[10/2869] BANK2_DONOR_pin__SPOT_all_excluded_off: cached
[11/2869] BANK2_BL-01a_SMA__ref: cached
[12/2869] BANK2_BL-01a_SMA__T_cross_-today__input_-adjust_warmup-strict: cached
[13/2869] BANK2_BL-01a_SMA__T_cross_-both_d_input_-raw_warmup-strict: cached
[14/2869] BANK2_BL-01a_SMA__T_cross_-today__input_-raw_warmup-strict: cached
[15/2869] BANK2_BL-01a_SMA__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[16/2869] BANK2_BL-01a_SMA__T_cross_-today__input_-raw_warmup-ready_: cached
[17/2869] BANK2_BL-01a_SMA__T_cross_-today__input_-adjust_warmup-ready_: cached
[18/2869] BANK2_BL-01a_SMA__T_cross_-both_d_input_-raw_warmup-ready_: cached
[19/2869] BANK2_BL-01a_SMA__OAT_same_bar_reentry-wait_bar: cached
[20/2869] BANK2_BL-01a_SMA__OAT_a_exec-set_holdings: cached
[21/2869] BANK2_BL-01a_SMA__OAT_rsi_smoothing-simple: cached
[22/2869] BANK2_BL-01a_SMA__OAT_rsi_exit-cross: cached
[23/2869] BANK2_BL-01a_SMA__SPOT_all_excluded_off: cached
[24/2869] BANK2_BL-01a_EMA__ref: cached
[25/2869] BANK2_BL-01a_EMA__ref_wb-200: cached
[26/2869] BANK2_BL-01a_EMA__ref_wb-150: cached
[27/2869] BANK2_BL-01a_EMA__ref_wb-252: cached
[28/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[29/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict: cached
[30/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[31/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[32/2869] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict: cached
[33/2869] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[34/2869] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[35/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict: cached
[36/2869] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[37/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[38/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[39/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[40/2869] BANK2_BL-01a_EMA__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[41/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-ready_: cached
[42/2869] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-ready_: cached
[43/2869] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-ready_: cached
[44/2869] BANK2_BL-01a_EMA__OAT_rsi_smoothing-simple: cached
[45/2869] BANK2_BL-01a_EMA__OAT_rsi_exit-cross: cached
[46/2869] BANK2_BL-01a_EMA__OAT_a_exec-set_holdings: cached
[47/2869] BANK2_BL-01a_EMA__SPOT_all_excluded_off: cached
[48/2869] BANK2_BL-01a_EMA__OAT_same_bar_reentry-wait_bar: cached
[49/2869] BANK2_BL-01a_WMA__ref: cached
[50/2869] BANK2_BL-01a_WMA__T_cross_-today__input_-adjust_warmup-strict: cached
[51/2869] BANK2_BL-01a_WMA__T_cross_-both_d_input_-raw_warmup-strict: cached
[52/2869] BANK2_BL-01a_WMA__T_cross_-today__input_-raw_warmup-strict: cached
[53/2869] BANK2_BL-01a_WMA__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[54/2869] BANK2_BL-01a_WMA__T_cross_-today__input_-adjust_warmup-ready_: cached
[55/2869] BANK2_BL-01a_WMA__T_cross_-both_d_input_-raw_warmup-ready_: cached
[56/2869] BANK2_BL-01a_WMA__T_cross_-today__input_-raw_warmup-ready_: cached
[57/2869] BANK2_BL-01a_WMA__OAT_rsi_exit-cross: cached
[58/2869] BANK2_BL-01a_WMA__OAT_rsi_smoothing-simple: cached
[59/2869] BANK2_BL-01a_WMA__OAT_a_exec-set_holdings: cached
[60/2869] BANK2_BL-01a_WMA__OAT_same_bar_reentry-wait_bar: cached
[61/2869] BANK2_BL-01a_WMA__SPOT_all_excluded_off: cached
[62/2869] BANK2_BL-01b_p10__T_cross_-today__input_-adjust_warmup-strict: cached
[63/2869] BANK2_BL-01b_p10__ref: cached
[64/2869] BANK2_BL-01b_p10__T_cross_-both_d_input_-raw_warmup-strict: cached
[65/2869] BANK2_BL-01b_p10__T_cross_-today__input_-raw_warmup-strict: cached
