freeze OK t1=5ae1bdb0e71a all=0eeb421b90d4 engine={'engine_image': 'quantconnect/lean@sha256:dc84a683464681b2e6c9579bc7655e16d4802380367c77004e40a6a504088bd7', 'lean_cli': 'lean 1.0.227', 'git_rev': 'b11f5d122f97867cc5ed6d1c49ddee57e4628667'}
jobs=2367 workers=4
[1/2367] BANK2_DONOR_pin__OAT_rsi_smoothing-simple: cached
[2/2367] BANK2_DONOR_pin__OAT_rsi_exit-cross: cached
[3/2367] BANK2_DONOR_pin__OAT_warmup-ready_check: cached
[4/2367] BANK2_DONOR_pin__OAT_warmup-ready_per_rule: cached
[5/2367] BANK2_DONOR_pin__OAT_a_exec-set_holdings: cached
[6/2367] BANK2_DONOR_pin__OAT_same_bar_reentry-wait_bar: cached
[7/2367] BANK2_DONOR_pin__OAT_cross_timing-today_ma: cached
[8/2367] BANK2_DONOR_pin__SPOT_all_excluded_off: cached
[9/2367] BANK2_DONOR_pin__OAT_input_field-raw: cached
[10/2367] BANK2_BL-01a_SMA__T_cross_-both_d_input_-raw_warmup-strict: cached
[11/2367] BANK2_BL-01a_SMA__ref: cached
[12/2367] BANK2_BL-01a_SMA__T_cross_-today__input_-adjust_warmup-strict: cached
[13/2367] BANK2_BL-01a_SMA__T_cross_-today__input_-adjust_warmup-ready_: cached
[14/2367] BANK2_BL-01a_SMA__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[15/2367] BANK2_BL-01a_SMA__T_cross_-today__input_-raw_warmup-strict: cached
[16/2367] BANK2_BL-01a_SMA__T_cross_-both_d_input_-raw_warmup-ready_: cached
[17/2367] BANK2_BL-01a_SMA__OAT_rsi_smoothing-simple: cached
[18/2367] BANK2_BL-01a_SMA__OAT_a_exec-set_holdings: cached
[19/2367] BANK2_BL-01a_SMA__OAT_same_bar_reentry-wait_bar: cached
[20/2367] BANK2_BL-01a_SMA__SPOT_all_excluded_off: cached
[21/2367] BANK2_BL-01a_EMA__ref: cached
[22/2367] BANK2_BL-01a_EMA__ref_wb-150: cached
[23/2367] BANK2_BL-01a_EMA__ref_wb-200: cached
[24/2367] BANK2_BL-01a_EMA__ref_wb-252: cached
[25/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict: cached
[26/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict_wb-150: cached
[27/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict_wb-200: cached
[28/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-strict_wb-252: cached
[29/2367] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict: cached
[30/2367] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict_wb-150: cached
[31/2367] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict_wb-200: cached
[32/2367] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-strict_wb-252: cached
[33/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict: cached
[34/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict_wb-150: cached
[35/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict_wb-200: cached
[36/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-strict_wb-252: cached
[37/2367] BANK2_BL-01a_EMA__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[38/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-adjust_warmup-ready_: cached
[39/2367] BANK2_BL-01a_EMA__T_cross_-both_d_input_-raw_warmup-ready_: cached
[40/2367] BANK2_BL-01a_EMA__T_cross_-today__input_-raw_warmup-ready_: cached
[41/2367] BANK2_BL-01a_EMA__OAT_rsi_smoothing-simple: cached
[42/2367] BANK2_BL-01a_EMA__OAT_rsi_exit-cross: cached
[43/2367] BANK2_BL-01a_EMA__OAT_a_exec-set_holdings: cached
[44/2367] BANK2_BL-01a_EMA__OAT_same_bar_reentry-wait_bar: cached
[45/2367] BANK2_BL-01a_EMA__SPOT_all_excluded_off: cached
[46/2367] BANK2_BL-01a_WMA__ref: cached
[47/2367] BANK2_BL-01a_WMA__T_cross_-today__input_-adjust_warmup-strict: cached
[48/2367] BANK2_BL-01a_WMA__T_cross_-both_d_input_-raw_warmup-strict: cached
[49/2367] BANK2_BL-01a_WMA__T_cross_-today__input_-raw_warmup-strict: cached
[50/2367] BANK2_BL-01a_WMA__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[51/2367] BANK2_BL-01a_WMA__T_cross_-today__input_-adjust_warmup-ready_: cached
[52/2367] BANK2_BL-01a_SMA__OAT_rsi_exit-cross: ok fills=250 (33.6s)
[53/2367] BANK2_BL-01a_WMA__T_cross_-today__input_-raw_warmup-ready_: cached
[54/2367] BANK2_BL-01a_WMA__OAT_rsi_smoothing-simple: cached
[55/2367] BANK2_BL-01a_WMA__OAT_rsi_exit-cross: cached
[56/2367] BANK2_BL-01a_WMA__OAT_a_exec-set_holdings: cached
[57/2367] BANK2_BL-01a_WMA__OAT_same_bar_reentry-wait_bar: cached
[58/2367] BANK2_BL-01a_WMA__SPOT_all_excluded_off: cached
[59/2367] BANK2_BL-01b_p10__ref: cached
[60/2367] BANK2_BL-01b_p10__T_cross_-today__input_-adjust_warmup-strict: cached
[61/2367] BANK2_BL-01b_p10__T_cross_-both_d_input_-raw_warmup-strict: cached
[62/2367] BANK2_BL-01b_p10__T_cross_-today__input_-raw_warmup-strict: cached
[63/2367] BANK2_BL-01b_p10__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[64/2367] BANK2_BL-01b_p10__T_cross_-today__input_-adjust_warmup-ready_: cached
[65/2367] BANK2_BL-01b_p10__T_cross_-both_d_input_-raw_warmup-ready_: cached
[66/2367] BANK2_BL-01b_p10__T_cross_-today__input_-raw_warmup-ready_: cached
[67/2367] BANK2_BL-01b_p10__OAT_rsi_smoothing-simple: cached
[68/2367] BANK2_BL-01b_p10__OAT_rsi_exit-cross: cached
[69/2367] BANK2_BL-01b_p10__OAT_a_exec-set_holdings: cached
[70/2367] BANK2_BL-01b_p10__OAT_same_bar_reentry-wait_bar: cached
[71/2367] BANK2_BL-01b_p10__SPOT_all_excluded_off: cached
[72/2367] BANK2_BL-01b_p20__ref: cached
[73/2367] BANK2_BL-01b_p20__T_cross_-today__input_-adjust_warmup-strict: cached
[74/2367] BANK2_BL-01b_p20__T_cross_-both_d_input_-raw_warmup-strict: cached
[75/2367] BANK2_BL-01b_p20__T_cross_-today__input_-raw_warmup-strict: cached
[76/2367] BANK2_BL-01b_p20__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[77/2367] BANK2_BL-01b_p20__T_cross_-today__input_-adjust_warmup-ready_: cached
[78/2367] BANK2_BL-01b_p20__T_cross_-both_d_input_-raw_warmup-ready_: cached
[79/2367] BANK2_BL-01b_p20__T_cross_-today__input_-raw_warmup-ready_: cached
[80/2367] BANK2_BL-01b_p20__OAT_rsi_smoothing-simple: cached
[81/2367] BANK2_BL-01b_p20__OAT_rsi_exit-cross: cached
[82/2367] BANK2_BL-01b_p20__OAT_a_exec-set_holdings: cached
[83/2367] BANK2_BL-01b_p20__OAT_same_bar_reentry-wait_bar: cached
[84/2367] BANK2_BL-01b_p20__SPOT_all_excluded_off: cached
[85/2367] BANK2_BL-01b_p50__ref: cached
[86/2367] BANK2_BL-01b_p50__T_cross_-today__input_-adjust_warmup-strict: cached
[87/2367] BANK2_BL-01b_p50__T_cross_-both_d_input_-raw_warmup-strict: cached
[88/2367] BANK2_BL-01a_SMA__T_cross_-today__input_-raw_warmup-ready_: ok fills=274 (33.9s)
[89/2367] BANK2_BL-01b_p50__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[90/2367] BANK2_BL-01b_p50__T_cross_-today__input_-adjust_warmup-ready_: cached
[91/2367] BANK2_BL-01b_p50__T_cross_-both_d_input_-raw_warmup-ready_: cached
[92/2367] BANK2_BL-01b_p50__T_cross_-today__input_-raw_warmup-ready_: cached
[93/2367] BANK2_BL-01b_p50__OAT_rsi_smoothing-simple: cached
[94/2367] BANK2_BL-01b_p50__OAT_rsi_exit-cross: cached
[95/2367] BANK2_BL-01b_p50__OAT_a_exec-set_holdings: cached
[96/2367] BANK2_BL-01b_p50__OAT_same_bar_reentry-wait_bar: cached
[97/2367] BANK2_BL-01b_p50__SPOT_all_excluded_off: cached
[98/2367] BANK2_BL-01b_p100__ref: cached
[99/2367] BANK2_BL-01b_p100__T_cross_-today__input_-adjust_warmup-strict: cached
[100/2367] BANK2_BL-01b_p100__T_cross_-both_d_input_-raw_warmup-strict: cached
[101/2367] BANK2_BL-01b_p100__T_cross_-today__input_-raw_warmup-strict: cached
[102/2367] BANK2_BL-01b_p100__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[103/2367] BANK2_BL-01b_p100__T_cross_-today__input_-adjust_warmup-ready_: cached
[104/2367] BANK2_BL-01b_p100__T_cross_-both_d_input_-raw_warmup-ready_: cached
[105/2367] BANK2_BL-01b_p100__T_cross_-today__input_-raw_warmup-ready_: cached
[106/2367] BANK2_BL-01b_p100__OAT_rsi_smoothing-simple: cached
[107/2367] BANK2_BL-01b_p100__OAT_rsi_exit-cross: cached
[108/2367] BANK2_BL-01b_p100__OAT_a_exec-set_holdings: cached
[109/2367] BANK2_BL-01b_p100__OAT_same_bar_reentry-wait_bar: cached
[110/2367] BANK2_BL-01b_p100__SPOT_all_excluded_off: cached
[111/2367] BANK2_BL-01b_p200__ref: cached
[112/2367] BANK2_BL-01b_p200__T_cross_-today__input_-adjust_warmup-strict: cached
[113/2367] BANK2_BL-01b_p200__T_cross_-both_d_input_-raw_warmup-strict: cached
[114/2367] BANK2_BL-01b_p200__T_cross_-today__input_-raw_warmup-strict: cached
[115/2367] BANK2_BL-01b_p200__T_cross_-both_d_input_-adjust_warmup-ready_: cached
[116/2367] BANK2_BL-01b_p200__T_cross_-today__input_-adjust_warmup-ready_: cached
[117/2367] BANK2_BL-01b_p200__T_cross_-both_d_input_-raw_warmup-ready_: cached
[118/2367] BANK2_BL-01b_p200__T_cross_-today__input_-raw_warmup-ready_: cached
[119/2367] BANK2_BL-01b_p200__OAT_rsi_smoothing-simple: cached
[120/2367] BANK2_BL-01b_p200__OAT_rsi_exit-cross: cached
[121/2367] BANK2_BL-01b_p200__OAT_a_exec-set_holdings: cached
[122/2367] BANK2_BL-01b_p200__OAT_same_bar_reentry-wait_bar: cached
[123/2367] BANK2_BL-01b_p200__SPOT_all_excluded_off: cached
