=== grading cloud_BL-00_attempts1.collected
cloud_BL-00_attempts1.collected #2: coded code=pin
cloud_BL-00_attempts1.collected #0: coded code=DRIFT
cloud_BL-00_attempts1.collected #1: coded code=pin
cloud_BL-00_attempts1.collected #4: coded code=pin
cloud_BL-00_attempts1.collected #5: coded code=DRIFT
cloud_BL-00_attempts1.collected #3: coded code=DRIFT
cloud_BL-00_attempts1.collected #6: coded code=DRIFT
cloud_BL-00_attempts1.collected #7: coded code=DRIFT
cloud_BL-00_attempts1.collected #8: no-program code=None
cloud_BL-00_attempts1.collected #9: coded code=DRIFT
cloud_BL-00_attempts1.collected #11: coded code=pin
cloud_BL-00_attempts1.collected #10: coded code=pin
cloud_BL-00_attempts1.collected #14: coded code=DRIFT
cloud_BL-00_attempts1.collected #12: coded code=pin
cloud_BL-00_attempts1.collected #15: coded code=DRIFT
cloud_BL-00_attempts1.collected #13: coded code=pin
cloud_BL-00_attempts1.collected #16: coded code=pin
cloud_BL-00_attempts1.collected #17: coded code=DRIFT
cloud_BL-00_attempts1.collected #18: coded code=pin
cloud_BL-00_attempts1.collected #20: coded code=DRIFT
cloud_BL-00_attempts1.collected #21: coded code=DRIFT
cloud_BL-00_attempts1.collected #19: coded code=DRIFT
cloud_BL-00_attempts1.collected #22: coded code=DRIFT
cloud_BL-00_attempts1.collected #23: coded code=DRIFT
cloud_BL-00_attempts1.collected #25: coded code=DRIFT
cloud_BL-00_attempts1.collected #24: coded code=DRIFT
cloud_BL-00_attempts1.collected #26: coded code=pin
cloud_BL-00_attempts1.collected #28: coded code=pin
cloud_BL-00_attempts1.collected #29: coded code=DRIFT
cloud_BL-00_attempts1.collected #27: coded code=pin
GRADED cloud_BL-00_attempts1.collected: +30 (total 30)
=== grading cloud_BL-01a_attempts1.collected
cloud_BL-01a_attempts1.collected #12: coded code=SMA
cloud_BL-01a_attempts1.collected #1: coded code=SMA
cloud_BL-01a_attempts1.collected #7: coded code=SMA
cloud_BL-01a_attempts1.collected #4: coded code=SMA
cloud_BL-01a_attempts1.collected #10: coded code=SMA
cloud_BL-01a_attempts1.collected #18: coded code=SMA
cloud_BL-01a_attempts1.collected #17: coded code=SMA
cloud_BL-01a_attempts1.collected #19: coded code=SMA
cloud_BL-01a_attempts1.collected #25: coded code=SMA
cloud_BL-01a_attempts1.collected #20: coded code=SMA
cloud_BL-01a_attempts1.collected #22: coded code=SMA
cloud_BL-01a_attempts1.collected #27: coded code=SMA
cloud_BL-01a_attempts1.collected #23: coded code=SMA
cloud_BL-01a_attempts1.collected #21: coded code=SMA
cloud_BL-01a_attempts1.collected #26: coded code=SMA
cloud_BL-01a_attempts1.collected #29: coded code=SMA
cloud_BL-01a_attempts1.collected #24: coded code=SMA
cloud_BL-01a_attempts1.collected #28: coded code=SMA
cloud_BL-01a_attempts1.collected #2: coded code=SMA
cloud_BL-01a_attempts1.collected #3: coded code=SMA
cloud_BL-01a_attempts1.collected #0: coded code=SMA
cloud_BL-01a_attempts1.collected #5: coded code=SMA
cloud_BL-01a_attempts1.collected #8: coded code=SMA
cloud_BL-01a_attempts1.collected #6: coded code=SMA
cloud_BL-01a_attempts1.collected #9: coded code=SMA
cloud_BL-01a_attempts1.collected #11: coded code=SMA
cloud_BL-01a_attempts1.collected #15: coded code=SMA
cloud_BL-01a_attempts1.collected #13: coded code=SMA
cloud_BL-01a_attempts1.collected #16: coded code=SMA
cloud_BL-01a_attempts1.collected #14: coded code=SMA
cloud_BL-01a_attempts1.collected #33: coded code=SMA
cloud_BL-01a_attempts1.collected #34: coded code=SMA
cloud_BL-01a_attempts1.collected #31: coded code=SMA
cloud_BL-01a_attempts1.collected #30: coded code=SMA
cloud_BL-01a_attempts1.collected #32: coded code=SMA
cloud_BL-01a_attempts1.collected #36: coded code=SMA
cloud_BL-01a_attempts1.collected #35: coded code=SMA
cloud_BL-01a_attempts1.collected #37: coded code=SMA
cloud_BL-01a_attempts1.collected #38: coded code=SMA
cloud_BL-01a_attempts1.collected #41: non-runnable code=None
cloud_BL-01a_attempts1.collected #40: coded code=SMA
cloud_BL-01a_attempts1.collected #43: coded code=SMA
cloud_BL-01a_attempts1.collected #39: coded code=SMA
cloud_BL-01a_attempts1.collected #44: coded code=SMA
cloud_BL-01a_attempts1.collected #45: coded code=SMA
cloud_BL-01a_attempts1.collected #42: coded code=SMA
cloud_BL-01a_attempts1.collected #49: coded code=SMA
cloud_BL-01a_attempts1.collected #51: coded code=SMA
cloud_BL-01a_attempts1.collected #47: coded code=SMA
cloud_BL-01a_attempts1.collected #48: coded code=SMA
cloud_BL-01a_attempts1.collected #53: coded code=SMA
cloud_BL-01a_attempts1.collected #50: coded code=SMA
cloud_BL-01a_attempts1.collected #46: coded code=SMA
cloud_BL-01a_attempts1.collected #52: coded code=SMA
cloud_BL-01a_attempts1.collected #66: coded code=SMA
cloud_BL-01a_attempts1.collected #65: coded code=SMA
cloud_BL-01a_attempts1.collected #62: coded code=SMA
cloud_BL-01a_attempts1.collected #63: coded code=SMA
cloud_BL-01a_attempts1.collected #69: coded code=SMA
cloud_BL-01a_attempts1.collected #64: coded code=SMA
cloud_BL-01a_attempts1.collected #68: coded code=SMA
cloud_BL-01a_attempts1.collected #67: coded code=SMA
cloud_BL-01a_attempts1.collected #71: coded code=SMA
cloud_BL-01a_attempts1.collected #72: coded code=SMA
cloud_BL-01a_attempts1.collected #70: coded code=SMA
